gid,name
1205116266830389,Braun Intertec
1205847718775752,British Safety Council
1201627723055281,Broadway Park
1201627660296536,Burg Simpson
1205994374923165,CalvettiFerguson
1205116266825939,Casa de Corazon
1202219838572484,Centric Parts
1206221392632037,Certas Energy
1208379881179353,Certas Roadshow
1205919921587916,CFM International
1206317880556757,Chris.Bann's First Team
1205116580670643,Classic Lodges
1206540701344379,Client Experience SLT
1202889070737636,Client Portal
1201822787429636,Codence
1205116266830384,Colder Products Company
1208293014217234,Colder Products Company
1205466558631222,Columbia Threadneedle
1205920172044045,Computershare
1206993437334891,ComputerShare US
1209503377452476,Content Producers (MPLS)
1205398519974475,Corporate Services
1201939421106652,Cox
1205047160617627,CPL's Talent Evolution Group
1205116580670618,Cpl's Talent Evolution Group x Gravity
1202460487290827,Craft Office Systems
1201939409410773,Craig Hospital
1201627660811449,Creative
1205888150622682,Creative Department
1205116580548601,Creative Services
1206889900890052,Crowcon
1203660468341911,CSCP
1207666150160451,CTI
1204333908768542,Culture Club (Houston)
1208595313676516,Cummins
1202371324602308,Curriculum Associates
1206811298631441,Danhouse
1205116580588992,Dash Hudson
1206304905724603,Debt Register
1209273194307887,Dell Accessories
1201627658804654,DemoClientGroup
1202271120512336,DemoClientGroup2
1205116580595135,Dept-Business Development
1205116266825919,Dept-IT
1205116580501092,Dept-Operations
1205198625164360,Dept-PR
1207920035041552,Dept-Project Management
1209379750215247,Dept-UX and Design
1201627659839722,Development
1203238530622845,Digital New Business
1206550749124001,Digital PM Task Force
1203517778407224,Digital Team
1205532200855081,Digital Team Tasks
1201824767642281,Digital-Dev
1201753735714592,DIRTT Environmental Solutions
1205116580662901,Dockzilla
1205116580582924,Dräger
1206993121636593,Dynamic Quest
1209583676460046,eCapital Commercial Finance
1205116580571292,Ecolab
1205116266855684,EDGE
1205888761870805,Embraer Commercial
1205888761141515,Embraer Corporate
1205969305263339,Embraer Defense
1205969330725180,Embraer Website TO BE DELETED
1201767721807291,Ergomotion
1205116580566456,Esko
1205847871535165,Espria (was Mode Solutions)
1205919918226173,Essentra
1206310739490060,Evolution (ESS)
1201627659557107,Executive
1201833826454525,Executive Care
1205116580531885,F.A.B. Reports
1204375934688992,FAB Dashboard
1207373425019503,Fairtree
1205116580595115,Ferrellgas TO BE DELETED
1202059313136267,Fiji Airways
1209447148543698,FINANCE PROJECTS
1206633369343689,Finance Team
1207079943156374,First Avenue
1205116580662926,First Merchants Bank
1206146150454653,FISHER & PAYKEL HEALTHCARE
1201642256758086,Fitzsimons
1201833776164625,Ford
1209131046918646,Former Employee Tasks
1205848067264792,Foster Refrigerator
1206400220046902,Franklin Energy
1201815802046190,Frontend Master
1202045373302021,Frutura
1205116580335738,Frutura MERGE
1209727480285819,Future Manager World
1205953758912868,Gates Industrial
1205968975789166,GE Aerospace
1205847718580599,Gen Digital (Avast)
1205116580583249,Genoa Healthcare
1205848065977467,Getac
1205942080935779,GGPM
1205047160617632,GGPM Digital PR Team
1205116580588980,GGPM Operations
1204091050240664,GKN Additive
1201627660264221,Granite Gold Inc
1201627659121393,Gravina
1205116580492269,Gravity - Creative Practice Area
1205198951887252,Gravity - Digital Practice Area
1205116580662906,Gravity - Group marketing
1205116266814754,Gravity - Growth Practice Area
1201627660799039,Gravity - HR US
1205116266814749,Gravity - Internal Projects
1208389037675968,Gravity - Marketing
1205198628997515,Gravity - Mid Market
1205082063496573,Gravity - Nha Trang Office English Club
1205198629918724,Gravity - Organic Search Practice Area
1205116580670623,Gravity - Social Practice Area
1205116580597547,Gravity - Strategy Practice Area
1201627590953844,Gravity - US Finance
1209376281694090,Gravity AI
1201888156922436,Gravity B2B Account Team
1205467187386462,Gravity Client IQ Dashboard
1207942545690214,Gravity Global - Brand Strategy Team
1207172252112851,Gravity GTM Internal Marketing
1209202153796163,Gravity Intel
1202534998094437,Gravity MPLS
1209100653852762,Gravity Outbound - EMEA
1205139620801754,Gravity U.S | Creative Projects
1205116266824523,Gravity US - Launch
1205116580583244,Gravity US Media Transition
1205969331496991,Grayson Pace
1205847573315653,Harrod Sport
1202968060206177,Hearsay Systems TO BE DELETED
1208286331287244,Henley Pacific
1201767721865259,Henley Pacific VIOC
1201627659772344,Herman Miller
1205116266814764,Heyco
1207444364060282,HiBob
1206340104358102,HiBob - creative
1205922154692986,Ho's First Team
1205920172015376,Hoeller
1205116580548747,HoganTaylor
1209098465250074,Hoist Finance
1202113487645767,HomeTeam
1201627721991908,Homie
1201180711799447,Honda
1209635536028908,Honda Compliance
1201631936099591,Honda Digital
1201894700408213,Honda Jet
1201980843004750,Honda PE Emails
1205847520469422,Honda Power Sports
1201980843129830,Honda PS Emails
1201980816228529,Honda Redesign
1201822878213098,Houston Dynamo
1201627587958175,Houston Health Department
1205116266839746,Hoya Canada
1205116580595125,Hoya Vision North America
1205116580541782,HR Projects
1208448736812408,Hungry Howie's
1207048788169706,HYCU
1205888987815509,ICIS
1207980632804373,IDEO
1207032201198499,InCommon
1201682130624792,Infinicept
1209399768117210,Infosys
1209070238858853,Int. - M&A
1206281551618898,InTek Freight & Logistics
1205920018048067,Interpon - AkzoNobel
1201759895527431,Intrepid Fiber Networks
1207203291815828,Investec
1203811514891275,Involta
1206611470695258,Iona wip
1208563625359525,Iron Mountain
1206558187824279,ITArchives
1206661498436833,Jamf
1201627722357540,Jewish Community Foundation
1205116580571297,"Joey, Mandy, Tim"
1209094382467384,Jon's first team
1209725331324608,Josh Private
1205928789993148,JUPITER
1202177116899952,Kaelus
1205559540752576,Kalsec
1205920355406910,KOPA Ovens
1209706626057776,LA County Dept of HR
1201627660142988,La Fortaleza
1203069150437228,Lambert
1201627659584656,LandCare
1205847943483938,Landlord & Tenants Protection
1207437464011439,LaSalle
1204796448916113,LASD
1205928608669238,LeasePlan UK
1209561927007183,Lee Branding
1201833737539531,LEGOLAND
1205258295928848,Life is not an Xbox
1208737559477520,Lily's first team
1201840677828498,LT Foods
1207484465643701,Lucent
1207436065876196,Lucent Diagnostics
1209088554039435,Luke (Myself)
1208992748470062,M&A
1209070341342977,M&A - Project Patriots
1206173936660994,M&G
1205920097662856,M&G Brand Campaign
1208888583581592,Mackenzie's first team
1205163409116349,Maddy's First Team
1205116580492254,Madison IAQ
1205823097657573,Maersk Europe
1206889900890074,Man Group
1206049817851062,MAN Truck & Bus
1205928795178041,MAN Truck & Bus UK
1209283151635713,Marketing Doctor
1201627589021360,Mass General Brigham
1201627586212174,Meat Fight
1201627725153935,MEDC
1201627660280969,Media
1208597636444338,Media VN
1209485488322496,Medtronic
1201627588562172,Memorial Hermann
1208595584193776,Michael Angelo's
1205116580654750,Michaud Cooley Erickson
1205467414572072,Michelle's First Team
1201627446433996,Mid Market
1203940307790001,MidFirst Bank
1205116580582919,MidFirst Bank MERGE
1206447228253325,Minneapolis Account Team
1205116580492259,Minnesota Wild
1205920198214293,Moneycorp
1208595327617995,Moore's Marinade
1203187510902404,Morrow Energy
1202015759501667,MorseKode
1205116580566431,Motiva 76
1205116266830374,Motiva Base Oils
1208480198669273,Move Concierge
1201627589404348,Natera
1201916700293551,Natrol
1206360516832012,NB - Dayforce Global Media RFP (Nov '23)
1206360606838832,NB - Jamf
1205847839127461,NB - SS&C Blue Prism (Aug '23)
1201627659765776,Nemours
1205969020027120,Neste MY Renewable Diesel
1201627590692953,New Business
1201627658864213,New Business Archive
1207890963800264,New Client Template
1209312561491209,New York Bariatric Group
1206587230352711,Newpark Resources
1202955807160216,NewQuest
1205920355143813,Nikon
1208595581425885,Noosa
1205116580595130,Norman Urology TO BE DELETED
1205116335895023,Northwestern Media
1206360606109271,Norwich New Business
1205116266825944,Nowsta
1209239314166187,Nutanix
1205848068144429,NVIDIA
1205116266824533,NVIDIA US Team
1206500737172357,Oasis Date
1206873057806321,Oasis Date - Misc Task
1208351973230547,Ocean First
1205825500932873,Off site 2024
1202968060232955,OneScreen
1209236173160086,OOH Media Team
1205116266824543,Operations Initiatives
1205920098582824,Optex (Europe)
1206373201468438,Optimum Finance
1208524574098026,Optimum Retailing
1208466312889704,Organic repository
1205116580588986,Orthene
1201980732258097,Outrider
1201627590523381,Overhead Door
1202623659062674,P2 Energy
1205116580597542,PA-Client Services
1205116266851083,PA-Innovation
1205116266857452,PA-Media Group
1205116580551077,PagoFX
1201627590584791,Parkinson Association of the Rockies
1205329351906344,Patina Health
1205206151931951,Payoneer
1201627660280915,Pecan Deluxe
1202384166142794,Penn Med
1201627722504195,Penn Medicine TO BE DELETED
1205116580335733,PennEngineering
1205732918463497,Perry Homes
1209254446978158,Petalite
1205754616098238,Phuong's First Team
1206709149882108,Pilot
1206302522118232,PITCHES
1205683052107365,PKF
1202692215256133,Politicize Me
1201627591887427,Port Houston
1205116580526015,Portworx
1205116266855709,Prezzee
1202058693958999,PrimeroEdge
1209070341322114,Project LB
1209518348050134,Project Management Templates
1205198755755021,Protect Ai TO BE DELETED
1201627724817543,Public Relations
1205116580571287,Pure Storage
1205116266824528,Pure Storage US Team
1206687634411829,Pyx Health
1207223937842927,Pzena Investment Management
1207113144399685,Pzena website replatform
1206769081320949,QuodOrbis
1202318661008072,Radiowaves
1204090777776303,RadioWaves MERGE
1208595279790223,Rao's Homemade
1202294093347537,Rapidscale
1205116335896798,Rapyd
1205848068063628,Ready Steady Store
1209346207068349,Real Sportscards
1207206553817506,Reckitt
1201627723112261,Republic Manufacturing
1203126845176233,Response Media
1204304622925561,Ringer
1206745384059869,Ringer
1205920103913713,Rite Hite
1205198954617381,Rochester Homes
1208595333094517,RPI
1205116580548752,RUI
1205920351442954,SAGE
1205116580534560,Saluda
1208036266121480,Sam's First Team
1206221399158507,Sands Capital
1205920283793010,Santander
1209346282413944,ScienceLogic
1208737804434368,Sean's first team
1208923590509819,Second Harvest Heartland
1208771703273802,Second to None
1206266340233328,SEO SLT
1205969231715437,Shannon Engine Support
1209346155576746,Shoes for Crews
1205116580582939,Signify Health
1207435646093278,Silvey Fleet
1203415279214941,SLT
1205847942619078,SNAP Account
1201627661577405,Social
1209578800681962,Social Media
1207377560958297,Social Media Department
1206173738548338,Solaris
1205116580541766,Solventum Dental Solutions
1205116580588970,Solventum Medical Surgical
1205116266825929,Solventum Medical Technologies
1205245970944796,Solventum Purification & Filtration
1207870073177472,Spamhaus
1205139576252764,SpareBox Storage
1203704729715625,Spirit Hound Distillers
1201627723380316,Sprint Executive
1201627660314531,ST&R
1201627724931039,STACK Infrastructure
1206551015302072,StackGen
1205925920724816,Stampe
1201974435463414,Standvast
1201627724470512,Strategy
1205570919784182,Studio Designer
1201973994431260,Suma
1205928596857406,SWARCO
1206622212294929,SWARCO - PR
1209346162470777,Tachus
1201627589194695,TalentReef
1202303163282622,TaskRay
1205848079477907,TaxAssist
1205848067406736,TaxBit
1205319301757594,TCB – Bask Bank
1208007340958336,Tech SEO Team
1202348970510602,TechInsights
1207878892981831,Teleperformance
1201627591072970,Teliax
1201695207700595,Templates MERGE
1201760045788606,TestingGroup
1207012526581764,Teton Valley Ranch Camp
1205327216976763,Texas Capital
1201627661328334,The Cable Center
1209168203770506,The Estate Registry
1205116580595120,The Stork's Nest
1205116335895013,Thrivent Mutual Funds
1201627659305680,TiiCKER
1205928610356665,Tobago Tourism Agency
1201753671674520,Tourism Fiji
1201973561501062,Tract
1208595584723521,Transamerica
1206903118281452,Trillium Flow
1206593863366412,UK HR Team
1206312486032048,UK/US  GG HR Team
1205116580532521,University of Northwestern - St. Paul
1205116266830369,Uowe
1208077353687545,Uponor
1205116580256735,US Bank
1205198752203921,USA Tolerance Rings
1201627588953419,Utex Industries TO BE DELETED
1209050536123738,UX/UI Vietnam Team
1205116266814769,Valify
1205847943123488,Valvoline - Oil Change
1201767645912534,Valvoline VIOC
1205116580335744,Vantedge
1203565192381899,Vari
1208020340744797,Vericon Systems
1207878159750836,Veristat
1203137908259093,VinoTastr
1206113046072194,Vistar
1209123223130661,VN Design - Creative
1201413415538584,VN Dev Team
1201627589537862,Walmart
1202227702110887,Ways of Working
1201627724326004,Wealth Financial Technologies
1206766971681242,WebTPA
1209097730643254,Wellford
1201627724359487,WGU
1209675740798588,Whisky Team
1208595586012237,Wickles
1203202794878134,WTO
1201808594261978,Xenith IG
1203076885641952,XOS
1205116580582913,Z-DELETE Andy Greaves's First Team
1205116266825949,Z-DELETE Asana Practice Setups
1205116580595110,Z-DELETE Client Services Leadership
1204828711462179,Z-DELETE Content Production Leadership Team
1205116580335749,Z-DELETE Content Studios - Leadership Team
1205116266851078,Z-DELETE Cyuba Thomas's First Team
1201781632380095,Z-DELETE Design Team
1201694888334709,Z-DELETE DEV Team
1201894700408103,Z-DELETE Digital Templates
1205116580541792,Z-DELETE Finance Leadership
1203776358193167,Z-DELETE Fisher Price_Test
1201965673628573,Z-DELETE Gravity Global - Phillips 66
1201713407870464,Z-DELETE Gravity Global Media Team
1205116580662911,Z-DELETE Gravity US Collateral
1201737869419215,Z-DELETE Gravity US Leadership
1202009277686868,Z-DELETE Honda Asana Templates ONLY
1204084830503855,Z-DELETE HOYA
1202631719657442,Z-DELETE Internal Digital Projects
1201429557027536,Z-DELETE Leaders
1202802249721160,Z-DELETE Magnet Project
1201894700408113,Z-DELETE MEDC Digital
1201995632674292,Z-DELETE MOTIVA
1202823247389181,Z-DELETE Motiva Base Oils
1205116335895028,Z-DELETE MPLS Jobs
1201894700408211,Z-DELETE P66 Aviation Digital
1201894700408209,Z-DELETE P66 Marketing Conference Digital
1201965157002877,Z-DELETE P66 Motor Fuels Website Maintenance
1204562485408121,Z-DELETE Paid Search
1202852431467943,Z-DELETE Personal
1202179536784869,Z-DELETE SA Internal
1201881872917484,Z-DELETE Sample Project Team
1201627659952296,Z-DELETE Sprint Creative
1201479341393778,Z-DELETE Techlead
1201754609667023,Z-DELETE unRadio
1201413415538726,Z-DELETE VN DP
1201684909786188,Z-DELETE vn-vu-test
1208773393600255,Đỗ Thị Thu Hằng's first team
