name,due_date,modified_at,gid,
Creative & Production Tasks,,2025-10-26T03:50:39.081Z,1209089301987694,
MAN - Ad Hoc Tasks,,2025-10-26T03:46:13.930Z,1206230218676306,
P0011324 1CB Brand Updates,,2025-10-26T02:54:09.578Z,1210753939073588,
Creative Requests,,2025-10-26T01:36:47.924Z,1199692542844165,
P0000729 - CFM - 50th,,2025-10-26T00:54:57.738Z,1206230774133892,
Awards Entries,,2025-10-26T00:44:16.539Z,1206278708001528,
Airbus - Ad Hoc Print,,2025-10-25T23:17:54.774Z,1206231304267919,
35th Anniversary Logo,,2025-10-25T22:11:13.578Z,1206270427611823,
Valify Marketing Retainer - Job P0009695,,2025-10-25T21:13:13.743Z,1206050095652616,
P0002378 - MAN - Social Assets,,2025-10-25T20:01:34.416Z,1206263337998805,
EDGE Empower / Aniela,,2025-10-25T16:40:42.929Z,1205116338250338,
Operation & Project Based,,2025-10-25T16:24:14.753Z,1211391959748309,
Creative Ops,,2025-10-25T15:29:54.892Z,1211748152776431,
Gravity Edge Process Library,,2025-10-25T14:55:39.955Z,1205348290506209,
P001601 Powersports Personalization,,2025-10-25T13:13:57.137Z,1206207748566692,
Strategy Work Requests,,2025-10-25T13:11:49.077Z,1201812451269773,
PTO / Annual Leave,,2025-10-25T13:05:39.043Z,1206230774133933,
MAN - People Driven,,2025-10-25T13:04:41.639Z,1206231304151082,
P0002300 - M&G - Brand Campaign,,2025-10-25T13:00:38.961Z,1206230772735557,
P0006675  - APC - Social (P0000655),,2025-10-25T12:59:39.866Z,1206230217267866,
P0001962 - MAN - Emergency Services - Creative,,2025-10-25T12:57:08.388Z,1206230217267882,
RUI Retainer - P0005227,,2025-10-25T11:06:43.170Z,1206050095652640,
P0010956 - Internal - Honda Maintenance,,2025-10-25T06:43:23.641Z,1209892295702146,
Digital/Dev Work Requests,,2025-10-25T06:43:23.637Z,1201831778756823,
Airbus - Dubai Airshow 2025,,2025-10-25T06:30:07.590Z,1211315968940890,
GGAI Scheduling,,2025-10-25T06:17:15.802Z,1210431464627933,
All AI Tasks,,2025-10-25T06:17:15.802Z,1210556124430453,
GGAI Foundations (P0010751),,2025-10-25T06:17:15.801Z,1209609085625501,
Computershare Website Project P0009120,,2025-10-25T04:52:38.139Z,1209008216599743,
INT P0011603 - Crete Hubspot,,2025-10-25T01:48:21.849Z,1211559562777220,
P0010897 FY26 - Pioneer/ATV Campaign Shoot,,2025-10-24T22:56:46.663Z,1210980215270711,
BBNA UAT Tracking,,2025-10-24T22:55:24.491Z,1211178450104976,
Allied Fire Website Project - P0004618,,2025-10-24T22:38:59.817Z,1207465815191660,
Texas Instruments Onboarding,,2025-10-24T22:14:45.175Z,1211654142026557,
Texas Capital Media,,2025-10-24T22:12:34.691Z,1206423933471587,
Bask Bank Media,,2025-10-24T22:09:23.866Z,1206709065753773,
Boardroom Salon - P0009553,,2025-10-24T21:35:57.047Z,1206051795323059,
MS Project Dashboard,,2025-10-24T21:34:37.319Z,1211368025792103,
P002075 Butler (BBNA) Redesign,,2025-10-24T21:32:48.197Z,1210515400116988,
Gravity Global Brand Refresh Requests,,2025-10-24T21:19:34.678Z,1210868854977998,
HoganTaylor - HoganTaylor - Retainer ,,2025-10-24T20:58:53.576Z,1206051795334260,
NYBG Location Page Development - P0011181,,2025-10-24T20:54:54.195Z,1210366001959797,
P002084 - SiliconExpert Website Restart,,2025-10-24T20:54:17.594Z,1210641641698178,
P002084 - SiliconExpert UAT,,2025-10-24T20:51:37.338Z,1211355410643621,
Crete Professionals Alliance,,2025-10-24T20:28:08.037Z,1210743578860508,
Vari Media,,2025-10-24T20:21:32.981Z,1209141638991828,
LevLane P0011226,,2025-10-24T20:18:07.768Z,1210539956065238,
P0010985 Medtronic Capere Strategy and Creative Platform,,2025-10-24T20:08:22.666Z,1210951685135151,
P0003194 Gravity Health Marketing,,2025-10-24T19:49:52.793Z,1211185764098776,
P0009292 NWM Client facing board,,2025-10-24T19:45:36.100Z,1209867014763607,
Franklin Energy Website Project P0010953,,2025-10-24T19:25:09.978Z,1210390057984647,
Vistar Creative Marketing Support Services - Job P0009764,,2025-10-24T19:01:38.362Z,1206107836677754,
Remote Team Culture Club,,2025-10-24T18:43:43.082Z,1210987802341091,
January 7th Model Release - P0010956 (FY26),,2025-10-24T18:01:23.967Z,1211085643951744,
P0011956 LevLane Website Dev Project,,2025-10-24T17:55:16.531Z,1211698278776802,
Cox Monthly Web Updates - Job P0009248,,2025-10-24T17:23:10.010Z,1202383953035794,
AkzoNobel | Accelshield 700 Refresh (P0006675),,2025-10-24T17:22:50.241Z,1210707158842890,
STACK SEO Consulting - P0009109,,2025-10-24T16:56:09.180Z,1210133701889309,
P2 Energy Managed Hosting - Job P0009681,,2025-10-24T16:53:57.279Z,1202623659062677,
AkzoNobel | Ionomy - Branding (P0011382),,2025-10-24T16:42:23.637Z,1210840578927799,
Nemours Media,,2025-10-24T16:36:42.603Z,1209333339276430,
AkzoNobel | Ad-hoc ads & newsletters,,2025-10-24T16:36:11.559Z,1206806213297045,
TopRight - Master integrations project,,2025-10-24T16:34:13.068Z,1210574391853801,
P0010986 Hologic Biopsy Portfolio Materials,,2025-10-24T16:28:31.855Z,1210138778354973,
Tobago | Corporate Assets,,2025-10-24T16:23:47.056Z,1207686072480981,
Gen Digital - October to December 25 (P0009334),,2025-10-24T16:12:51.040Z,1211452141830223,
Gen Digital - July to September 25 (P0009334),,2025-10-24T16:12:51.037Z,1210672327091938,
P0011220 3M CBTD Bldg Window Films Website UX Wireframes & Tinting,,2025-10-24T16:07:42.146Z,1210564295643955,
P0009051 3M CBTD Film Solutions School Campaign,,2025-10-24T16:03:45.521Z,1209487492597214,
P0011063 Pulmonx COPD Physician Brief Updates,,2025-10-24T16:00:56.171Z,1211305266142329,
P0011171 Design Retainer July - Dec 2025,31/12/2025,2025-10-24T15:57:22.652Z,1210607167835871,
Motiva Base Oils Lead Gen Campaign - P0009936,,2025-10-24T15:52:45.105Z,1210823029996692,
P0011149 - Internal - NYBG MS,,2025-10-24T15:46:03.831Z,1210350073777586,
P0009120 - Computershare Website UAT,,2025-10-24T15:21:39.329Z,1211097820290824,
Santander | Ready-Made video (P0009625),,2025-10-24T14:52:46.756Z,1210602843858403,
P0011223 3M CBTD Bldg Window Films Website Pages Updates,,2025-10-24T14:52:00.475Z,1210564295643959,
Lime Health | Lime Report (P0011380),,2025-10-24T14:44:29.182Z,1211510419279838,
P0009342 MFB Q2 2026 Campaign,,2025-10-24T14:42:54.920Z,1211710096960800,
P0011283 MFB New Brand Campaign,,2025-10-24T14:42:42.909Z,1210766508562373,
P0011095- Avid Business Proposal Design Elevation,,2025-10-24T14:36:24.154Z,1210246920555747,
P0010934.4.1- Vontier - Investor Assets,,2025-10-24T14:32:47.181Z,1211673586627688,
P0011163 - Reckitt - 'EHME' 2025 BDIs,,2025-10-24T14:30:48.772Z,1210339853426208,
P0011850 - Esko,,2025-10-24T14:30:43.559Z,1209946782645856,
P0011599 - Bostik - Reno & Repair,,2025-10-24T14:29:54.087Z,1211638178757806,
Support & Maintenance Service ,,2025-10-24T14:28:47.246Z,1209807175751688,
NYBG Managed Services & SEO Retainer - P0011149,,2025-10-24T14:25:22.889Z,1210352793985393,
NVIDIA - Internal task board,,2025-10-24T14:14:50.928Z,1209088554039338,
Henley Pacific VIOC - 16348_Dev_Henley Pacific SEM Site Managed Services,,2025-10-24T14:11:07.320Z,1202009013669434,
Henley Pacific VIOC - 16348_Main_Henley Pacific Paid Search Program,,2025-10-24T14:11:05.940Z,1202003296525933,
Henley Pacific VIOC - Henley Pacific VIOC - Account Planning Overview,,2025-10-24T14:11:04.268Z,1202003296525918,
P0009141 - Jensen MS,,2025-10-24T14:05:27.188Z,1209997178985079,
P0010934.1.1 - Vontier VI guidelines,,2025-10-24T13:55:11.786Z,1211020999550304,
Dash Hudson - Internal task board ,,2025-10-24T13:44:04.154Z,1208934326560229,
P0009343 - FY25 MFB Organic Social ,,2025-10-24T13:35:21.336Z,1210036414238961,
P0010712 HPS Email Design - Q3 & Q4 2025,,2025-10-24T13:30:29.855Z,1210852427848423,
TaxAssist - Paid Media Tasks ,18/03/2025,2025-10-24T13:23:09.757Z,1208880185886531,
ECI Solutions Media -,,2025-10-24T13:22:54.119Z,1211208353672980,
ECA | Dubai Air Show,,2025-10-24T12:55:06.782Z,1210831539888235,
KOPA Ovens - ECA | Paris Air Show 2025,,2025-10-24T12:50:44.938Z,1208517016293731,
Meat Fight - 1167 - MF Burger Fight Event,,2025-10-24T12:36:30.991Z,1204220360586645,
Meat Fight - [DEV] 16812 Meatfight,,2025-10-24T12:36:29.816Z,1203391352106954,
Meat Fight - 16812 - Meat Fight Fall Event,,2025-10-24T12:36:27.888Z,1202074493986905,
LA County Dept of HR Marketing Campaign - Job P0010937,,2025-10-24T12:32:50.182Z,1209702001011102,
Interpon - Sustainability Programme - P0010671,,2025-10-24T11:35:50.082Z,1209167326293815,
P0009575 - ETL NVIDIA,,2025-10-24T11:31:35.866Z,1209385091765550,
ICIS x Gravity Global - Internal task board ,,2025-10-24T11:25:50.826Z,1208527483473365,
P0011898 - Internal - Saluda,,2025-10-24T11:22:24.361Z,1209936236265899,
P0011378 - CTI MS,,2025-10-24T10:29:41.128Z,1209957108883555,
P002075 Varco Pruden (BBNA) Redesign,,2025-10-24T10:21:31.668Z,1210515400116992,
Interpon Paid Media - Q1 25,,2025-10-24T09:48:41.822Z,1209142709070791,
P0011850 - Internal - Esko MS,,2025-10-24T09:37:34.947Z,1209946782645852,
InCommon Website Redesign - Job P0005623,,2025-10-24T08:45:03.308Z,1208821478906815,
P0011284-Getac Landing page,,2025-10-24T08:42:59.750Z,1211060710371829,
PM Corner,,2025-10-24T08:37:13.475Z,1201812650691845,
Managed Hosting Portal,,2025-10-24T08:23:07.890Z,1210764757271615,
ECA | LuxAir,,2025-10-24T08:22:16.924Z,1210832481508475,
P0011094 - Dematic - Brand strategy adcepts,,2025-10-24T08:22:10.000Z,1211370645331910,
Believ | PPT template,,2025-10-24T08:19:08.657Z,1211467977490429,
L10 Analytics Meeting,,2025-10-24T06:37:26.346Z,1209862208963424,
P0009292 Internal site retainer NWM,,2025-10-24T06:35:34.930Z,1209867014763589,
P0009656 - Internal - Taxbit MS,,2025-10-24T06:01:57.190Z,1209932502245385,
InCommon Brand Launch Support - Job P0010000,,2025-10-24T06:01:39.259Z,1209311567949682,
Cory's Internal Projects,,2025-10-24T05:04:34.936Z,1211375361505143,
P0009107 Alto-Shaam Website Maintenance Retainer,,2025-10-24T05:00:45.089Z,1209000153064044,
P0010793 Getac Client facing board,,2025-10-24T03:49:51.612Z,1209959377695320,
P0010901 - Internal - Heptagon,,2025-10-24T02:59:52.744Z,1210010592970338,
P0010901 - Heptagon,,2025-10-24T02:49:30.876Z,1210010592970342,
VN Communication Channel ,,2025-10-24T01:29:15.636Z,1210900905169908,
P0001180.11 - Sage - X3 ISG Report campaign kit,,2025-10-24T00:54:59.487Z,1211288743037671,
Pilot: P002260 FY25 Billboard Production,,2025-10-24T00:40:43.306Z,1209204628760152,
Transamerica Projects  - P0009686,,2025-10-24T00:15:43.405Z,1209189407849195,
Dell Accessories_Webinars and Door Openers Q1 and Q2,,2025-10-23T23:01:25.855Z,1209523974912041,
Training 2025,,2025-10-23T23:01:24.991Z,1209581369746524,
M&G Investment Story,17/11/2025,2025-10-23T23:01:22.622Z,1211487061738553,
Creative Freelancer Tracker,,2025-10-23T23:01:18.734Z,1211703853762997,
AkzoNobel | Brand Video (P0006675),,2025-10-23T23:01:12.521Z,1211256680869389,
P0005246 - Reckitt - EMEA Brochure,,2025-10-23T23:01:07.895Z,1211436813151542,
M&G - Equities - P0009623,,2025-10-23T23:00:48.002Z,1210744528033488,
Believ | Charge Speed Sign (P0011419),,2025-10-23T23:00:33.943Z,1210984359449772,
UCLA Holiday video - P0010832,,2025-10-23T23:00:28.023Z,1211000403724563,
GG INT Projects ,,2025-10-23T23:00:11.849Z,1210167981092335,
GGAI Projects,,2025-10-23T23:00:08.073Z,1210169506939958,
P0010809 FY26 Honda Dealer Support ,,2025-10-23T22:26:27.688Z,1207972617156862,
P0011843 - PGDA Menu Board Design,,2025-10-23T21:01:48.588Z,1211610457446942,
P0011801 BCB Bank: Visual Expression 2025 ,,2025-10-23T20:15:31.538Z,1211411125027548,
Arrow Services Website Retainer - P0011339,,2025-10-23T19:59:35.761Z,1202058126839032,
INT P0011273 – Crete Professionals Alliance,,2025-10-23T19:26:39.417Z,1210743578859309,
P0009664 Craig Hospital Maintenance,,2025-10-23T19:16:37.477Z,1210008790466121,
P0009583 - Wickles Pickles (Fenwick Brands) ,30/09/2025,2025-10-23T18:59:04.297Z,1209623710060257,
P0009575 Nvidia : Media Industry News & Insights,,2025-10-23T18:34:11.489Z,1209539535845727,
Gold Wing Print Tracker,,2025-10-23T18:30:06.493Z,1211709819049198,
"NV FY26 - Launch, Product & Program (LPP) Campaigns",07/02/2025,2025-10-23T17:28:01.733Z,1209282430079583,
P0011196 Oasis Date Extension Brands Packaging [SOW #7],,2025-10-23T17:24:35.171Z,1210384431344479,
LASD Paid Media Retainer - Job P0011359,,2025-10-23T17:16:49.711Z,1204810654715842,
NV FY26 - AI Campaigns,,2025-10-23T17:13:50.865Z,1209133155212829,
FSS [Truste Solutions] Website Project - P0010881,,2025-10-23T17:10:13.669Z,1210278118490805,
P0011077 - UNW Website Maintenance & Consulting July 25- June 26,,2025-10-23T17:00:03.998Z,1209735052875641,
UCLA Holiday Project - P0010832,,2025-10-23T16:53:35.713Z,1210869641365805,
P0011354 3M Frost Campaign,,2025-10-23T16:42:48.322Z,1211024154595358,
"P0009691 - Bostik, Bostik Pull Banner",,2025-10-23T16:05:42.267Z,1211718017199366,
Racing Support Print Tracker,,2025-10-23T16:00:51.819Z,1211709819049214,
Rapyd x Gravity Global -  Performance Marketing,,2025-10-23T15:56:55.832Z,1209016612551264,
ST&R Managed Hosting - Job P0009672,,2025-10-23T15:55:50.798Z,1201967324954032,
P0011247 Blueshift Materials Brand Strategy Deliverables,,2025-10-23T15:46:34.723Z,1211721254960601,
P0011108 - Dell - Power of Paired Campaign Q2,,2025-10-23T15:35:02.946Z,1210556329772851,
P0009342 MidFirst Bank Media,,2025-10-23T15:25:00.151Z,1208938149567631,
FY25-26 NT1100 Shoot & Deliverables,,2025-10-23T15:18:10.043Z,1210239529363587,
P0009670 - Internal - Kaelus,,2025-10-23T15:13:14.444Z,1209944824961880,
P0011972: 1CB Social Retainer (Nov 25 - Mar 26),,2025-10-23T15:01:09.392Z,1211723435767264,
P0009129 - FY25 1CB Organic Social ,,2025-10-23T14:20:15.384Z,1210176454687080,
Task Management,,2025-10-23T13:13:30.611Z,1211693902659612,
Gen Digtital - Blog Image Production,,2025-10-23T11:04:41.848Z,1209241070619977,
AkzoNobel | Sikkens Interior launch (P0010726),,2025-10-23T11:03:08.300Z,1209780272308529,
Social Media Calendar,,2025-10-23T10:43:41.418Z,1211046738125722,
Airbus - H140 EMS (MTM),,2025-10-23T10:12:37.655Z,1210926233738848,
P0010923 | AI Webinar Series,,2025-10-23T08:57:54.181Z,1211219497431285,
M&G - Active ETF,21/11/2025,2025-10-23T08:51:17.086Z,1211487103202889,
P0011243 - Hitachi - EcoSpace Project,,2025-10-23T08:23:33.892Z,1210763953022542,
AkzoNobel | MPY Journey magazine,,2025-10-23T08:22:57.268Z,1210584186867019,
P0009690 - Jupiter - Global Small Companies (Active ETF),,2025-10-23T08:20:42.569Z,1209855264640087,
P0010934.1.1 - Vontier -LOB core assets,,2025-10-23T08:18:37.903Z,1211149782311585,
Santander | Brand asset updates (P0009625),,2025-10-23T08:18:27.653Z,1210484240883553,
Internal Starlims MS P0009729 ,,2025-10-23T04:02:48.119Z,1209932426340115,
L10 ETL Tasks,,2025-10-23T01:21:44.199Z,1210046644726044,
ECA | SAS Campaign,,2025-10-22T23:10:03.237Z,1210707898851736,
P0011726 Cook Medical Brand Refresh RFP,,2025-10-22T21:39:16.038Z,1211500341217833,
P0010714 Race Win Ads (FY26),,2025-10-22T21:31:11.853Z,1209914593959965,
Cummins - Misc. Projects ,,2025-10-22T20:05:13.181Z,1211029115675121,
P0010908 FY26 - CRF Fun Bikes Campaign ,,2025-10-22T19:09:24.974Z,1209748469713605,
P0010845 HJ WEBSITE MAINTENANCE,,2025-10-22T19:06:04.083Z,1201932179211873,
P0011302 - Lysol Pro Solutions US Adaptation,,2025-10-22T18:17:25.595Z,1211300205766896,
Middlesex College - Option A & B,,2025-10-22T18:17:18.773Z,1211470950877279,
NoHo Campaign,,2025-10-22T18:01:26.237Z,1211722469947885,
Pecan Deluxe FY26 Media - P0011543,,2025-10-22T16:27:17.914Z,1211093055287922,
Pilot: Production Intake Tickets,,2025-10-22T15:35:53.464Z,1209784682113490,
Certas (Gulf) - Social Media assets (P0009212),,2025-10-22T15:06:27.999Z,1209303605928656,
HTPD Location Page - Wireframe and Design - Job P0011920 ,,2025-10-22T14:45:43.781Z,1211640014531912,
KC-390 New Moment,,2025-10-22T14:45:32.765Z,1211148284090446,
P0009342 MFB Q1 2026 Business Campaign,,2025-10-22T14:23:29.743Z,1211174389615294,
 NV FY26 - Intel MDF Campaigns,,2025-10-22T14:04:33.814Z,1209276095440727,
 NV FY26 - NV Story/Circles Campaigns,,2025-10-22T14:04:24.171Z,1209294940511115,
NV FY26 - Developer Campaigns,,2025-10-22T14:04:04.975Z,1209274543377550,
NV FY26 - AI Factories Campaigns,,2025-10-22T14:03:53.887Z,1211047797886870,
NV FY26 - Physical AI Campaigns,,2025-10-22T14:03:44.513Z,1209229145693033,
 NV FY26 - Business Leaders Campaigns,07/02/2025,2025-10-22T14:03:29.656Z,1209283411656169,
Thrivent Podcast 2025 - Job P0011049,,2025-10-22T13:54:33.662Z,1207448843522803,
Reckitt,,2025-10-22T13:29:50.943Z,1211558811841628,
Digital Development Internal,,2025-10-22T07:22:29.735Z,1210036133951199,
P0009265 NYBG Outdoor Boards Updates,,2025-10-22T05:01:06.168Z,1209977713907749,
Strongbow - Internal,,2025-10-22T02:34:36.328Z,1210221693680409,
Media Data Analytics - Dashboard Internal Feedback,,2025-10-22T01:37:32.848Z,1211712904377238,
Dash Hudson x Gravity - Performance Marketing,,2025-10-21T23:00:46.141Z,1208312689526367,
P0003194 - (Group Marketing) Signals eBook,,2025-10-21T20:39:10.110Z,1211699436855369,
Honda Powersports Campaign Project Template,,2025-10-21T19:40:40.977Z,1211094378448450,
Airbus - MTM / PAS25 / Integrated Brand Campaign,,2025-10-21T19:04:17.384Z,1209550218166579,
HHP: We Do Bold Toolkit,,2025-10-21T16:32:42.070Z,1211227069975619,
TCB/Bask Reporting,,2025-10-21T15:46:12.686Z,1206833090534336,
P0009265 NYBG Social Media FY 25,,2025-10-21T15:15:01.962Z,1209717005836705,
Airbus - Commercial GTM,,2025-10-21T14:14:01.222Z,1211597788468939,
P0004707 - NWM Dashboard,,2025-10-21T09:52:40.308Z,1209114650114180,
Airbus - Eurofighter,,2025-10-21T08:27:31.469Z,1211600348231721,
Signify - Retainer P0003730,,2025-10-21T00:07:42.317Z,1206051795322743,
Harpenden Building Society Redesign,,2025-10-20T23:00:28.279Z,1211635268400974,
P0011288 CLO Product Campaign,,2025-10-20T18:23:11.141Z,1210847894658742,
Alto-Shaam US - July - September (P0009285),,2025-10-20T18:09:48.380Z,1210726973982679,
P002255 Power Equipment & Marine Emails,,2025-10-20T14:28:47.545Z,1209807018785534,
Pilot Directional OOH,,2025-10-20T13:08:46.747Z,1209257625351174,
Tobago | Cruise Ship Schedule Assets,,2025-10-20T09:46:49.290Z,1208517447344693,
P0008696 - Maersk - Kimberly Clark 'Success Story' Video,,2025-10-20T05:44:03.453Z,1210520638674214,
P0010908 CRF Project Timeline,,2025-10-20T05:03:11.962Z,1211229408447888,
3. VN Creative_QC Checklist,,2025-10-20T03:32:01.696Z,1211156960803136,
Believ ABM Marketing Projects - P0003168,,2025-10-20T00:25:09.077Z,1206105207630645,
P0010934 - Vontier - Core Assets,,2025-10-19T23:01:17.717Z,1211673587230859,
SEO Project Support Deliverables ,,2025-10-19T23:00:26.178Z,1211638517067146,
Digital Weekly Production ,,2025-10-19T16:30:10.129Z,1203683616827700,
P001650 - M - Aidoc Category Content & Creation,,2025-10-19T13:59:53.758Z,1206044756968108,
[DEV] 16655 DISCOVER & DEFINE PSP RESDESIGN,,2025-10-19T04:17:40.646Z,1204663433173580,
P0003397 Bosley Development,,2025-10-19T02:41:45.028Z,1201978901220344,
OOO - Creative Team,,2025-10-18T16:27:14.120Z,1202063895485815,
_AdHoc New Business Request,,2025-10-18T07:06:35.103Z,1201985531550492,
BAND-IT Monthly Ads - Job P002021,,2025-10-18T06:48:44.898Z,1201652847032862,
M&A - Due Diligence Falcon,23/07/2025,2025-10-17T19:37:05.232Z,1210332757698540,
P0011547 ATV Media Assets,,2025-10-17T17:00:29.477Z,1211117534282764,
Sage ISV - P0011214 - QuickBooks Switcher Campaign,,2025-10-17T16:14:37.712Z,1211638181662690,
Edge - Media Team Board,,2025-10-17T15:44:58.053Z,1211082929006106,
Uponor Case Study - P0003194,,2025-10-17T14:57:43.630Z,1209641699404945,
P0011394 Dematic - Website Audit,,2025-10-17T14:46:23.108Z,1211223959929183,
P0005299 Pro Honda Oils Brand Roll Out ,,2025-10-17T13:41:09.302Z,1208448940062354,
Mackenzie Personal,,2025-10-17T13:34:14.926Z,1211123179124256,
ANGI Guide,,2025-10-17T12:51:33.406Z,1211102672030291,
P0011077 - UNW-Internal- Website Maintenance & Consulting July 24 - June 25,,2025-10-17T10:03:01.652Z,1207789464216845,
CS | Issuer / Investor Relations,,2025-10-17T09:31:07.131Z,1209698316814244,
Getac RFP launch (P0011284),,2025-10-16T17:00:26.059Z,1210683384857219,
P0010827.4.1 - Dell - Power of Paired Campaign,,2025-10-16T08:50:59.418Z,1209640449951465,
Gravity Client Portals,,2025-10-16T01:50:16.823Z,1208097505338182,
NV FY26 - GTC DC,,2025-10-15T22:05:43.423Z,1211009418869262,
Media - Pure Storage ,,2025-10-15T22:05:43.362Z,1205116269141356,
Media Campaigns (EMEA) - Pure Storage ,,2025-10-15T22:05:43.356Z,1205116338251113,
NVIDIA New Biz,,2025-10-15T22:05:43.352Z,1205116269073056,
NV FY26 - Google MDF Campaigns,,2025-10-15T22:05:43.341Z,1210328976861796,
